Date,Open,High,Low,Close,Adj Close,Volume
5/1/2008,1.978709,1.989733,1.971104,1.971492,1.971492,0
5/4/2008,1.971492,1.978513,1.966414,1.972931,1.972931,0
5/5/2008,1.973554,1.977183,1.964212,1.97336,1.97336,0
5/6/2008,1.97336,1.97336,1.951105,1.952706,1.952706,0
5/7/2008,1.952896,1.961169,1.950687,1.955722,1.955722,0
5/8/2008,1.955837,1.9571,1.94651,1.954385,1.954385,0
5/11/2008,1.954385,1.963017,1.945185,1.955608,1.955608,0
5/12/2008,1.955493,1.957598,1.942993,1.946396,1.946396,0
5/13/2008,1.946396,1.947458,1.938097,1.946586,1.946586,0
5/14/2008,1.94651,1.949812,1.940994,1.947609,1.947609,0
5/15/2008,1.947533,1.959478,1.944806,1.956717,1.956717,0
5/18/2008,1.956717,1.962016,1.945828,1.949584,1.949584,0
5/19/2008,1.949508,1.971803,1.948482,1.968,1.968,0
5/20/2008,1.967574,1.973282,1.962824,1.971414,1.971414,0
5/21/2008,1.971414,1.984993,1.9699,1.98059,1.98059,0
5/22/2008,1.98059,1.984599,1.976402,1.982318,1.982318,0
5/25/2008,1.982318,1.983183,1.976597,1.982082,1.982082,0
5/26/2008,1.981807,1.984599,1.972503,1.976011,1.976011,0
5/27/2008,1.976011,1.982711,1.971998,1.980982,1.980982,0
5/28/2008,1.980982,1.982003,1.969008,1.976206,1.976206,0
5/29/2008,1.975309,1.982789,1.969008,1.982789,1.982789,0
6/1/2008,1.982789,1.982789,1.960285,1.965911,1.965911,0
6/2/2008,1.965911,1.973593,1.961207,1.962516,1.962516,0
6/3/2008,1.962516,1.963942,1.953201,1.953888,1.953888,0
6/4/2008,1.954003,1.959632,1.946813,1.95779,1.95779,0
6/5/2008,1.957867,1.973399,1.954194,1.970016,1.970016,0
6/8/2008,1.970016,1.980002,1.967381,1.974217,1.974217,0
6/9/2008,1.973905,1.975387,1.952401,1.953583,1.953583,0
6/10/2008,1.953697,1.966607,1.950382,1.964019,1.964019,0
6/11/2008,1.963903,1.964019,1.94371,1.947495,1.947495,0
6/12/2008,1.946927,1.950725,1.941785,1.946889,1.946889,0
6/15/2008,1.946889,1.968581,1.946889,1.964289,1.964289,0
6/16/2008,1.964714,1.969396,1.947306,1.957713,1.957713,0
6/17/2008,1.957713,1.961015,1.948216,1.958787,1.958787,0
6/18/2008,1.95871,1.974607,1.95871,1.972386,1.972386,0
6/19/2008,1.972581,1.978983,1.970482,1.97371,1.97371,0
6/22/2008,1.97371,1.975894,1.959017,1.965409,1.965409,0
6/23/2008,1.965563,1.972114,1.962901,1.970405,1.970405,0
6/24/2008,1.970288,1.976793,1.966491,1.974684,1.974684,0
6/25/2008,1.974645,1.989337,1.972192,1.987597,1.987597,0
6/26/2008,1.9874,1.995291,1.982711,1.994098,1.994098,0
6/29/2008,1.994098,1.996606,1.988506,1.992985,1.992985,0
6/30/2008,,,,,,
7/1/2008,1.994615,1.996885,1.984915,1.992508,1.992508,0
7/2/2008,1.992786,1.993581,1.980786,1.982907,1.982907,0
7/3/2008,1.983104,1.985033,1.980276,1.983419,1.983419,0
7/6/2008,1.983419,1.983419,1.965486,1.976402,1.976402,0
7/7/2008,1.976597,1.978787,1.967265,1.968698,1.968698,0
7/8/2008,1.968814,1.983852,1.967807,1.9822,1.9822,0
7/9/2008,1.9822,1.982553,1.971803,1.977613,1.977613,0
7/10/2008,1.977613,1.994893,1.975582,1.989416,1.989416,0
7/13/2008,1.989416,1.996207,1.9822,1.994018,1.994018,0
7/14/2008,1.994217,2.013288,1.993859,2.003607,2.003607,0
7/15/2008,2.004008,2.009404,1.996606,1.998601,1.998601,0
7/16/2008,1.998441,2.006702,1.995411,1.997603,1.997603,0
7/17/2008,1.997882,1.9998,1.991318,1.999001,1.999001,0
7/20/2008,1.999001,2.004008,1.991199,2.001721,2.001721,0
7/21/2008,2.002002,2.007669,1.990406,1.992786,1.992786,0
7/22/2008,1.992786,2.002884,1.990882,1.997443,1.997443,0
7/23/2008,1.997603,1.998961,1.982278,1.987242,1.987242,0
7/24/2008,1.987084,1.997802,1.984206,1.99001,1.99001,0
7/27/2008,1.99001,1.996327,1.984796,1.994098,1.994098,0
7/28/2008,1.994296,1.996686,1.976793,1.980786,1.980786,0
7/29/2008,1.980747,1.983812,1.975114,1.9811,1.9811,0
7/30/2008,1.980982,1.992508,1.978866,1.983104,1.983104,0
7/31/2008,1.982514,1.984284,1.973165,1.974295,1.974295,0
8/3/2008,1.974295,1.976011,1.960208,1.961207,1.961207,0
8/4/2008,1.96113,1.961207,1.952515,1.955608,1.955608,0
8/5/2008,1.955608,1.958979,1.946965,1.948216,1.948216,0
8/6/2008,1.947989,1.953888,1.9422,1.943597,1.943597,0
8/7/2008,1.943483,1.943483,1.914865,1.919717,1.919717,0
8/10/2008,1.919717,1.925818,1.907596,1.9119,1.9119,0
8/11/2008,1.912302,1.912302,1.895483,1.895806,1.895806,0
8/12/2008,1.895591,1.903783,1.865011,1.866786,1.866786,0
8/13/2008,1.866891,1.878605,1.862093,1.866612,1.866612,0
8/14/2008,1.866507,1.867972,1.851989,1.864906,1.864906,0
8/17/2008,1.864906,1.871993,1.861643,1.865011,1.865011,0
8/18/2008,1.865045,1.86839,1.854015,1.868007,1.868007,0
8/19/2008,1.867797,1.8686,1.854599,1.863412,1.863412,0
8/20/2008,1.863412,1.879593,1.860984,1.876666,1.876666,0
8/21/2008,1.875961,1.876877,1.850789,1.854015,1.854015,0
8/24/2008,1.854015,1.859185,1.840875,1.84901,1.84901,0
8/25/2008,1.839385,1.841587,1.833517,1.839216,1.839216,0
8/26/2008,1.839385,1.848668,1.829893,1.835603,1.835603,0
8/27/2008,1.835199,1.839791,1.824884,1.829793,1.829793,0
8/28/2008,1.829793,1.834189,1.817818,1.821792,1.821792,0
8/31/2008,1.821792,1.821792,1.787598,1.791312,1.791312,0
9/1/2008,1.790991,1.79414,1.778916,1.781705,1.781705,0
9/2/2008,1.782213,1.783994,1.76719,1.773301,1.773301,0
9/3/2008,1.773113,1.784917,1.757408,1.761401,1.761401,0
9/4/2008,1.761587,1.77349,1.75494,1.768597,1.768597,0
9/7/2008,1.768597,1.797624,1.747793,1.761742,1.761742,0
9/8/2008,1.762611,1.770193,1.751498,1.762301,1.762301,0
9/9/2008,1.762394,1.767503,1.748191,1.75291,1.75291,0
9/10/2008,1.753709,1.760594,1.745292,1.755587,1.755587,0
9/11/2008,1.75571,1.795816,1.754601,1.792307,1.792307,0
9/14/2008,1.792307,1.812612,1.777493,1.795816,1.795816,0
9/15/2008,1.794527,1.799208,1.775694,1.783612,1.783612,0
9/16/2008,1.783994,1.823387,1.779708,1.815014,1.815014,0
9/17/2008,1.814783,1.827185,1.810315,1.815409,1.815409,0
9/18/2008,1.815508,1.838607,1.792789,1.830898,1.830898,0
9/21/2008,1.830898,1.863447,1.826885,1.858011,1.858011,0
9/22/2008,1.857562,1.86251,1.84819,1.855494,1.855494,0
9/23/2008,1.855597,1.859877,1.846074,1.849489,1.849489,0
9/24/2008,1.849386,1.866298,1.832475,1.8404,1.8404,0
9/25/2008,1.8404,1.846586,1.834223,1.840299,1.840299,0
9/28/2008,1.840299,1.840299,1.797397,1.801088,1.801088,0
9/29/2008,1.801412,1.811201,1.776925,1.782086,1.782086,0
9/30/2008,1.782785,1.787086,1.764633,1.769943,1.769943,0
10/1/2008,1.770225,1.77261,1.756296,1.764509,1.764509,0
10/2/2008,1.76426,1.782499,1.757315,1.772013,1.772013,0
10/5/2008,1.772013,1.772013,1.7359,1.743102,1.743102,0
10/6/2008,1.743466,1.763886,1.734214,1.745505,1.745505,0
10/7/2008,1.745901,1.763606,1.72649,1.727504,1.727504,0
10/8/2008,1.727653,1.739251,1.707096,1.708642,1.708642,0
10/9/2008,1.707796,1.71609,1.681209,1.704013,1.704013,0
10/12/2008,1.704013,1.744014,1.694599,1.744287,1.744287,0
10/13/2008,1.744196,1.762394,1.739614,1.741796,1.741796,0
10/14/2008,1.741796,1.759789,1.714413,1.71839,1.71839,0
10/15/2008,1.71839,1.735418,1.7178,1.734305,1.734305,0
10/16/2008,1.734395,1.737801,1.723662,1.730193,1.730193,0
10/19/2008,1.730193,1.751651,1.710806,1.713091,1.713091,0
10/20/2008,1.713414,1.719986,1.667473,1.667389,1.667389,0
10/21/2008,1.667195,1.667639,1.616188,1.620089,1.620089,0
10/22/2008,1.620194,1.634307,1.607588,1.622692,1.622692,0
10/23/2008,1.622192,1.623192,1.529496,1.591495,1.591495,0
10/27/2008,1.591495,1.591495,1.530339,1.553905,1.553905,0
10/28/2008,1.554219,1.610099,1.541497,1.60901,1.60901,0
10/29/2008,1.609399,1.644791,1.594998,1.637197,1.637197,0
10/30/2008,1.636849,1.665806,1.624009,1.637117,1.637117,0
10/31/2008,1.637063,1.640366,1.603798,1.607304,1.607304,0
11/3/2008,1.607304,1.639613,1.574109,1.577063,1.577063,0
11/4/2008,1.57761,1.609399,1.561207,1.593702,1.593702,0
11/5/2008,1.5936,1.618909,1.57781,1.58451,1.58451,0
11/6/2008,1.58446,1.603207,1.557002,1.558312,1.558312,0
11/7/2008,1.559041,1.586722,1.554195,1.565092,1.565092,0
11/10/2008,1.565092,1.587982,1.558094,1.563624,1.563624,0
11/11/2008,1.563208,1.570007,1.535414,1.538391,1.538391,0
11/12/2008,1.53929,1.5477,1.484098,1.491491,1.491491,0
11/13/2008,1.489558,1.498397,1.459194,1.490668,1.490668,0
11/14/2008,1.49038,1.49535,1.468364,1.475296,1.475296,0
11/17/2008,1.475296,1.506501,1.466297,1.499498,1.499498,0
11/18/2008,1.499498,1.508956,1.490691,1.495953,1.495953,0
11/19/2008,1.495797,1.524483,1.491491,1.497006,1.497006,0
11/20/2008,1.498105,1.49961,1.471887,1.473796,1.473796,0
11/21/2008,1.4741,1.505593,1.473405,1.492693,1.492693,0
11/24/2008,1.492693,1.518926,1.481591,1.514899,1.514899,0
11/25/2008,1.514624,1.552096,1.49979,1.542805,1.542805,0
11/26/2008,1.542401,1.543591,1.520705,1.533366,1.533366,0
11/27/2008,1.533366,1.549691,1.532896,1.54031,1.54031,0
11/28/2008,1.539598,1.544592,1.5273,1.538509,1.538509,0
12/1/2008,1.538509,1.538509,1.481811,1.486503,1.486503,0
12/2/2008,1.486392,1.505843,1.47859,1.490713,1.490713,0
12/3/2008,1.490091,1.493317,1.467007,1.478197,1.478197,0
12/4/2008,1.478197,1.480801,1.449506,1.468407,1.468407,0
12/5/2008,1.468192,1.476494,1.455202,1.470502,1.470502,0
12/8/2008,1.470502,1.503692,1.4606,1.487498,1.487498,0
12/9/2008,1.486525,1.489004,1.468493,1.475906,1.475906,0
12/10/2008,1.475623,1.486591,1.474296,1.479793,1.479793,0
12/11/2008,1.479925,1.507909,1.479925,1.502901,1.502901,0
12/12/2008,1.501998,1.511396,1.482404,1.494992,1.494992,0
12/15/2008,1.494992,1.536996,1.488007,1.529894,1.529894,0
12/16/2008,1.529777,1.563795,1.520797,1.558603,1.558603,0
12/17/2008,1.557802,1.571512,1.526508,1.5507,1.5507,0
12/18/2008,1.550989,1.561207,1.492003,1.505503,1.505503,0
12/19/2008,1.505911,1.517405,1.481701,1.499498,1.499498,0
12/22/2008,1.499498,1.499498,1.47141,1.4828,1.4828,0
12/23/2008,1.482733,1.489603,1.468278,1.474491,1.474491,0
12/24/2008,1.474491,1.480407,1.466792,1.47321,1.47321,0
12/25/2008,1.47321,1.519711,1.467696,1.474992,1.474992,0
12/26/2008,1.4751,1.479903,1.458491,1.458491,1.458491,0
12/29/2008,1.458491,1.476799,1.440279,1.446906,1.446906,0
12/30/2008,1.447304,1.454101,1.4403,1.446801,1.446801,0
12/31/2008,1.445191,1.469659,1.441192,1.46561,1.46561,0
1/1/2009,1.449695,1.480253,1.449695,1.4741,1.4741,0
